UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
102614,1,-2,-2,2,820832.0,145425.0,63676.0,884508.0,1.0,2842197.0,1.0,1669576.0,237953.0,1737605.0,5673.0,1981231.0,10490.0,1429414.0,1439904.0,6263332.0,9295.0,9800.0,1
102632,1,-2,-2,2,187901.0,59216.0,3446.0,191347.0,1.0,712305.0,1.0,398405.0,46227.0,135891.0,10779.0,192897.0,8685.0,237994.0,246679.0,1151881.0,2233.0,3214.0,1
102669,1,2,102553,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
103361,2,-2,-2,2,50380.0,0.0,6200.0,56580.0,2.0,155000.0,1.0,,15500.0,5900.0,4400.0,25800.0,100.0,8270.0,8370.0,189170.0,32.0,105.0,1
103644,2,-2,-2,2,7788.0,24705.0,709.0,8497.0,0.0,123970.0,2.0,,35193.0,86797.0,375.0,122365.0,0.0,1790.0,1790.0,248125.0,0.0,0.0,1
103723,2,-2,-2,2,5299.0,0.0,3979.0,9278.0,0.0,72344.0,1.0,,19800.0,3120.0,0.0,22920.0,0.0,0.0,0.0,95264.0,0.0,0.0,1
103778,4,-2,-2,-1,27966.0,37762.0,2878.0,30844.0,0.0,478334.0,2.0,0.0,99356.0,132385.0,386744.0,618485.0,952.0,50680.0,51632.0,1148451.0,915.0,242.0,-1
103787,1,-2,-2,2,23966.0,0.0,648.0,24614.0,0.0,38340.0,2.0,,0.0,2018.0,0.0,2018.0,0.0,125.0,125.0,40483.0,0.0,0.0,2
103893,2,-2,-2,2,5076.0,0.0,1214.0,6290.0,6.0,301800.0,2.0,,2400.0,17225.0,693.0,20318.0,0.0,0.0,0.0,322118.0,0.0,4.0,1
103945,2,-2,-2,2,1400.0,0.0,81.0,1481.0,0.0,,2.0,,3196.0,6439.0,0.0,9635.0,0.0,0.0,0.0,69698.0,0.0,0.0,1
103963,4,-2,-2,-1,1149.0,0.0,2170.0,3319.0,1.0,,2.0,,1044.0,1007.0,500.0,2551.0,0.0,2500.0,2500.0,80666.0,0.0,0.0,-1
104090,4,1,104090,-1,3657.0,30814.0,162.0,3819.0,4.0,,2.0,,16450.0,35994.0,0.0,52444.0,0.0,0.0,0.0,385152.0,0.0,1.0,-1
104151,2,-2,-2,2,4497114.0,313728.0,1443190.0,5940304.0,7.0,9788933.0,2.0,0.0,2273373.0,8532089.0,294337.0,11099799.0,168541.0,5129116.0,5297657.0,26186389.0,48044.0,39846.0,1
104160,1,-2,-2,2,70635.0,54107.0,6517.0,77152.0,0.0,452681.0,2.0,0.0,58402.0,105162.0,764.0,164328.0,3558.0,57484.0,61042.0,678051.0,1552.0,500.0,1
104179,2,-2,-2,2,5538346.0,832443.0,627091.0,6165437.0,2.0,8881620.0,2.0,0.0,4380688.0,6843220.0,311891.0,11535799.0,50228.0,4934839.0,4985067.0,25402486.0,44395.0,53327.0,1
104188,2,-2,-2,2,5123.0,0.0,254.0,5377.0,1.0,100000.0,2.0,,23406.0,13381.0,2254.0,39041.0,410.0,15042.0,15452.0,154493.0,0.0,0.0,2
104346,1,-2,-2,2,77401.0,431.0,3787.0,81188.0,2.0,387601.0,1.0,96094.0,72750.0,43933.0,1722.0,118405.0,100.0,32182.0,32282.0,538288.0,626.0,145.0,1
104364,1,-2,-2,2,3904.0,0.0,161.0,4065.0,0.0,75566.0,1.0,,21796.0,27220.0,0.0,49016.0,0.0,3171.0,3171.0,127753.0,0.0,0.0,1
104425,2,-2,-2,2,70962.0,25000.0,8183.0,79145.0,2.0,453825.0,1.0,128500.0,70500.0,52290.0,2000.0,124790.0,500.0,121201.0,121701.0,700316.0,440.0,182.0,1
104531,1,2,144759,-1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
